pair,scheme,bits,points,significant_errors,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,max_err2,avg_eval_us
tanh_sech2,standard_pbs,10,10000,12,0,0,1.913915020734e-3,2.010617612787e-3,2.775905958681e-3,1.191956801944e-3,4.650417614271e-3,6.152525040133e-3,8.938727278680e-3,1.762033823824e-2,1.761992021632e-3,1.680508427570e-3,2.434897217426e-3,1.214600355655e-3,4.058801728163e-3,5.306662638977e-3,7.333329442166e-3,1.301861575033e-2,246020.860740
tanh_sech2,sdr_pbs,10,10000,25,10000,0,1.972556739658e-3,2.090557897176e-3,2.874267282737e-3,1.211661981996e-3,4.826251362240e-3,6.356926767547e-3,9.331991555580e-3,1.791427520606e-2,1.931422526962e-3,1.851658166037e-3,2.675636548844e-3,1.356683189321e-3,4.465454449651e-3,5.817830648849e-3,8.151884009136e-3,1.444892617651e-2,124245.327160
tanh_sech2,many_lut,9,10000,617,0,0,3.806420316019e-3,4.047629508126e-3,5.556270354947e-3,2.356962593453e-3,9.352233789745e-3,1.240007159626e-2,1.795998842420e-2,3.280034025463e-2,3.520485013287e-3,3.383197597845e-3,4.882605934831e-3,2.446850797302e-3,8.046469841206e-3,1.059430610534e-2,1.503769288237e-2,2.518203101910e-2,124152.139230
sigmoid_sigmoid_deriv,standard_pbs,10,10000,117,0,0,1.011165244316e-3,1.339023382227e-3,1.677926926140e-3,4.491365868307e-4,2.819678362841e-3,3.894290763399e-3,6.421736869032e-3,9.964328808990e-3,4.742628520311e-4,5.711204651050e-4,7.423636834318e-4,2.349776621837e-4,1.266219667958e-3,1.672421516185e-3,2.577047987829e-3,3.932612813479e-3,247879.013330
sigmoid_sigmoid_deriv,sdr_pbs,10,10000,186,10000,0,1.036685665645e-3,1.379850552047e-3,1.725892440258e-3,4.614349990978e-4,2.881697114179e-3,3.948827100972e-3,6.347100334760e-3,1.304648094292e-2,5.143518061447e-4,6.279565092346e-4,8.117186445896e-4,2.509575879807e-4,1.370880070150e-3,1.861744990986e-3,2.792784060846e-3,4.929457155884e-3,124104.236120
sigmoid_sigmoid_deriv,many_lut,9,10000,1169,0,0,2.021810684166e-3,2.663059975219e-3,3.343591912034e-3,9.149006961429e-4,5.511551603430e-3,7.633792133035e-3,1.262147004754e-2,2.299150203465e-2,9.513874597562e-4,1.163838622952e-3,1.503216031998e-3,4.749820119870e-4,2.574094890114e-3,3.391022701159e-3,5.168182134288e-3,9.831438280412e-3,122924.321780
softplus_sigmoid,standard_pbs,10,10000,0,0,0,4.039513536763e-3,4.436302447036e-3,5.999870749881e-3,2.241912699031e-3,1.021544107062e-2,1.350582721582e-2,1.917293871438e-2,3.306383461344e-2,9.635266803030e-4,1.024688118023e-3,1.406545201148e-3,5.874761634880e-4,2.382675968702e-3,3.107718823349e-3,4.558435533472e-3,8.139718092281e-3,213019.931480
softplus_sigmoid,sdr_pbs,10,10000,0,10000,0,4.108388583698e-3,4.453866869505e-3,6.059355316032e-3,2.319229740123e-3,1.020350184694e-2,1.338421284088e-2,1.956133172375e-2,3.439510254525e-2,1.027662104219e-3,1.093181318478e-3,1.500378217490e-3,6.410523488711e-4,2.492441316542e-3,3.332092255064e-3,5.029160422641e-3,8.556009538179e-3,106609.305850
softplus_sigmoid,many_lut,9,10000,157,0,0,8.128568134876e-3,8.820905493759e-3,1.199508206113e-2,4.514280442989e-3,2.031116091064e-2,2.629959700643e-2,3.856585215576e-2,7.152042179625e-2,1.964975540807e-3,2.113474353036e-3,2.885810582299e-3,1.192274342462e-3,4.818380814031e-3,6.359945347373e-3,9.652999342136e-3,1.880830086612e-2,106898.737940
swish_swish_deriv,standard_pbs,10,10000,11,0,0,4.474683322215e-3,5.210456941831e-3,6.868162227029e-3,2.113600845997e-3,1.203981801976e-2,1.591839164190e-2,2.186039621015e-2,3.576998086983e-2,1.320439315001e-3,1.851814302219e-3,2.274373802721e-3,5.486545543811e-4,3.788768431290e-3,5.392677512792e-3,8.631300119770e-3,1.685374326784e-2,212213.649220
