pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
tanh_sech2,standard_pbs,10,1000,1,55,1,0,0,0,1.828697155482e-3,1.952493042100e-3,2.675137821855e-3,1.098148866339e-3,4.626227720913e-3,5.807188470738e-3,9.294438425923e-3,1.057889911666e-2,1.379024201555e-2,1.688232157776e-3,1.636229763594e-3,2.351037145139e-3,1.200399170910e-3,3.885226982551e-3,4.978242771709e-3,7.190147415639e-3,9.797842321878e-3,1.187913889213e-2,58.623800,212043.587400,7.004600,212109.215800
tanh_sech2,sdr_pbs,10,1000,0,72,0,0,1000,0,1.991535099461e-3,2.073180060477e-3,2.874767401990e-3,1.208170092669e-3,4.962111555928e-3,6.126643414787e-3,9.097916398184e-3,1.339345002818e-2,1.379024201555e-2,1.933148972271e-3,1.776692849417e-3,2.625586111740e-3,1.390462837596e-3,4.344279069148e-3,5.476956829336e-3,7.766676535790e-3,9.755682915944e-3,9.911309603124e-3,58.661800,105705.540500,9.590900,105773.793200
tanh_sech2,many_lut,9,1000,52,274,52,0,0,0,3.745516840828e-3,3.768373480665e-3,5.313147381233e-3,2.451564750109e-3,9.131546295660e-3,1.176395125755e-2,1.747007067949e-2,2.517852838708e-2,2.544608347668e-2,3.521116581257e-3,3.294669206990e-3,4.822147567453e-3,2.569463568712e-3,8.128874955342e-3,9.915898006925e-3,1.466252622193e-2,1.803882802641e-2,1.839964087651e-2,58.499800,105865.233300,26.735500,105950.468600
sigmoid_sigmoid_deriv,standard_pbs,10,1000,12,110,12,0,0,0,9.843991946217e-4,1.286065127560e-3,1.619569475724e-3,4.460821718022e-4,2.805057402283e-3,3.732402368774e-3,6.174060283427e-3,7.375632280288e-3,7.747886613972e-3,4.722296689799e-4,5.766413920149e-4,7.453295615027e-4,2.333657292705e-4,1.253105268490e-3,1.724342266637e-3,2.540127384439e-3,3.484767973056e-3,3.531016593657e-3,58.530400,211620.215800,7.228800,211685.975000
sigmoid_sigmoid_deriv,sdr_pbs,10,1000,21,142,21,0,1000,0,1.083356273779e-3,1.410633751834e-3,1.778636668280e-3,4.722417426454e-4,3.105594703033e-3,4.010201842766e-3,6.475039662761e-3,8.567307034746e-3,9.066615873813e-3,5.197943884870e-4,6.362912175874e-4,8.216159199294e-4,2.502348956813e-4,1.409003142233e-3,1.869070199579e-3,2.770249432192e-3,3.672618910305e-3,4.271064114588e-3,58.572800,105544.018800,9.585100,105612.176700
sigmoid_sigmoid_deriv,many_lut,9,1000,120,314,120,20,0,0,2.186981374298e-3,2.852431720143e-3,3.594336412970e-3,9.373164921710e-4,6.046400307977e-3,8.204828650098e-3,1.330614073486e-2,1.855339667711e-2,1.891934914214e-2,9.954417353167e-4,1.200241319229e-3,1.559321478334e-3,4.921516376786e-4,2.577223768987e-3,3.439152557195e-3,5.503149115377e-3,6.920571191989e-3,7.329896925070e-3,57.994600,105928.975000,26.764700,106013.734300
softplus_sigmoid,standard_pbs,10,1000,0,7,0,0,0,0,4.013842466502e-3,4.228679079394e-3,5.830322298330e-3,2.283239746978e-3,1.005691744069e-2,1.321783680983e-2,1.755956911159e-2,2.310565896677e-2,2.499560762347e-2,9.351246286066e-4,9.758953249173e-4,1.351602662110e-3,5.811058511195e-4,2.313113860456e-3,2.954602294857e-3,4.604909009560e-3,6.165237387549e-3,6.771896114058e-3,58.571300,211553.854600,6.931400,211619.357300
softplus_sigmoid,sdr_pbs,10,1000,0,19,0,0,1000,0,4.035037802582e-3,4.433101664064e-3,5.994490840113e-3,2.301119050693e-3,9.575754124744e-3,1.370968857665e-2,2.011486116314e-2,2.553628200847e-2,3.100481722334e-2,1.019088339601e-3,1.085552509079e-3,1.488947713614e-3,5.960402647077e-4,2.591013680764e-3,3.416838871312e-3,4.877180497207e-3,6.190215136544e-3,6.204431688414e-3,58.377000,105735.708700,9.636100,105803.721800
softplus_sigmoid,many_lut,9,1000,17,159,17,0,0,0,8.104778908431e-3,8.928424008203e-3,1.205836624194e-2,4.128853169820e-3,2.012825973289e-2,2.754539698421e-2,3.700555889533e-2,4.892468055476e-2,5.094094406773e-2,1.907226252306e-3,2.067801910434e-3,2.813061804916e-3,1.167703383334e-3,4.790022406424e-3,6.132800971487e-3,9.811856545685e-3,1.282250205542e-2,1.500819404506e-2,58.019600,105763.544600,26.556600,105848.120800
swish_swish_deriv,standard_pbs,10,1000,0,35,0,0,0,0,4.236506389278e-3,4.916637460189e-3,6.490093242884e-3,2.154151713902e-3,1.132368758284e-2,1.469927694685e-2,2.092731577827e-2,2.798042197667e-2,2.884531423534e-2,1.207551841766e-3,1.685784396423e-3,2.073656307534e-3,5.095419397012e-4,3.534960544405e-3,4.774246619653e-3,8.193540315964e-3,1.040143500572e-2,1.066148769648e-2,58.611700,212135.825700,7.063900,212201.501300
swish_swish_deriv,sdr_pbs,10,1000,3,59,3,0,1000,0,4.384632028788e-3,5.207394254439e-3,6.807492412705e-3,2.169280475845e-3,1.191325798348e-2,1.640060138310e-2,2.180958293574e-2,2.896705672088e-2,2.970698292986e-2,1.394408862524e-3,2.005329559360e-3,2.442482900151e-3,5.357835718367e-4,4.043584087361e-3,5.808214517133e-3,9.190097174754e-3,1.347430418259e-2,1.719618869199e-2,58.206900,105824.677000,9.638000,105892.521900
swish_swish_deriv,many_lut,9,1000,48,228,48,4,0,0,8.655027670475e-3,1.002265546601e-2,1.324247433704e-2,4.399349258293e-3,2.261487593581e-2,3.107833388327e-2,4.385481090817e-2,5.905268028723e-2,6.640680270387e-2,2.631022046680e-3,3.835628146881e-3,4.651270825405e-3,1.091088203974e-3,7.478501383395e-3,1.063261803077e-2,1.796086639007e-2,2.596071705986e-2,3.123870722033e-2,57.798700,106165.456100,26.341800,106249.596600
gelu_gelu_deriv,standard_pbs,10,1000,7,87,7,0,0,0,4.746501054645e-3,5.723732587300e-3,7.435750600488e-3,1.918098281239e-3,1.247084334982e-2,1.647468366259e-2,2.572232027330e-2,3.485586448591e-2,3.587316011496e-2,1.398321946520e-3,2.486023216385e-3,2.852300071613e-3,4.757919582399e-4,4.173987062659e-3,6.873297009890e-3,1.135889920643e-2,1.921874691338e-2,2.051432037555e-2,58.263100,211543.310200,7.223500,211608.796800
gelu_gelu_deriv,sdr_pbs,10,1000,18,85,18,0,1000,0,4.450213679631e-3,5.115681158023e-3,6.780456880250e-3,1.914673082459e-3,1.206236556467e-2,1.605725308531e-2,2.105681734578e-2,2.428259561371e-2,2.835855709774e-2,1.599726248223e-3,3.021898983061e-3,3.419210074429e-3,5.001074881659e-4,5.098858134893e-3,7.703589926178e-3,1.614378727276e-2,1.995298330543e-2,2.272768194070e-2,58.239400,105295.401700,9.632400,105363.273500
gelu_gelu_deriv,many_lut,9,1000,87,228,87,12,0,0,8.732642861823e-3,1.070573836617e-2,1.381563915702e-2,3.727823014861e-3,2.241107238028e-2,3.168831370767e-2,5.095375562661e-2,5.602356196463e-2,6.010496394055e-2,2.817873970648e-3,4.992298855724e-3,5.732666184186e-3,1.014588836841e-3,8.325864020443e-3,1.390403858631e-2,2.497977501107e-2,3.293464392849e-2,3.790003233428e-2,57.861100,105819.510700,26.458900,105903.830700
elu_elu_deriv,standard_pbs,10,1000,9,49,9,1,0,0,4.014992961603e-3,4.366945936144e-3,5.932148454896e-3,2.153838841767e-3,1.041202346041e-2,1.347947214076e-2,1.767790811339e-2,2.222043010753e-2,3.093304007820e-2,9.549493219665e-4,2.024080773924e-3,2.238041819737e-3,1.464647801119e-4,2.712328139373e-3,4.587729111714e-3,9.377857240915e-3,1.686295234818e-2,2.305535674064e-2,58.592900,212149.232900,7.145300,212214.971100
elu_elu_deriv,sdr_pbs,10,1000,18,77,18,0,1000,0,4.161947597660e-3,4.590582590767e-3,6.196390588748e-3,2.189448866094e-3,1.073356475251e-2,1.374046920821e-2,2.063000977517e-2,2.750488758553e-2,2.863098729228e-2,1.121809862302e-3,2.322912030017e-3,2.579608045102e-3,1.664043986345e-4,3.533634981604e-3,6.089422762940e-3,1.099784970888e-2,1.462922327623e-2,1.988567645049e-2,58.247900,105503.574700,9.771200,105571.593800
