pair,scheme,bits,total_inputs,exact_recovery,mismatches,projection_events,invalid_outputs,max_code_err1,max_code_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us,exact_recovery_rate
tanh_sech2,standard_pbs,10,1024,369,655,0,0,6,11,57.868457,211059.455176,7.006641,211124.330273,0.3603515625
tanh_sech2,sdr_pbs,10,1024,292,732,1024,0,6,13,58.238672,105634.911035,9.434668,105702.584375,0.28515625
tanh_sech2,many_lut,9,512,171,341,0,0,8,11,58.475195,105971.532227,23.641992,106053.649414,0.333984375
sigmoid_sigmoid_deriv,standard_pbs,10,1024,484,540,0,0,9,14,57.806445,210897.378516,6.89043,210962.075391,0.47265625
sigmoid_sigmoid_deriv,sdr_pbs,10,1024,407,617,1024,0,9,13,58.040723,105628.212402,9.434277,105695.687402,0.3974609375
sigmoid_sigmoid_deriv,many_lut,9,512,231,281,0,0,9,14,58.126758,105422.14375,23.723438,105503.993945,0.451171875
softplus_sigmoid,standard_pbs,10,1024,425,599,0,0,7,6,57.616895,210134.964355,6.994434,210199.575684,0.4150390625
softplus_sigmoid,sdr_pbs,10,1024,363,661,1024,0,6,8,58.120605,105388.031152,9.425586,105455.577344,0.3544921875
softplus_sigmoid,many_lut,9,512,215,297,0,0,6,7,58.378906,105486.927148,24.037891,105569.343945,0.419921875
swish_swish_deriv,standard_pbs,10,1024,477,547,0,0,8,13,57.863672,210150.097949,7.083105,210215.044727,0.4658203125
swish_swish_deriv,sdr_pbs,10,1024,435,589,1024,0,8,10,58.300488,105024.126855,9.383105,105091.810449,0.4248046875
swish_swish_deriv,many_lut,9,512,242,270,0,0,6,7,58.130273,105329.166797,23.889062,105411.186133,0.47265625
gelu_gelu_deriv,standard_pbs,10,1024,509,515,0,0,8,16,57.802832,209641.033203,7.307227,209706.143262,0.4970703125
gelu_gelu_deriv,sdr_pbs,10,1024,477,547,1024,0,8,16,58.141895,105140.560547,9.568262,105208.270703,0.4658203125
gelu_gelu_deriv,many_lut,9,512,268,244,0,0,11,11,58.48457,106127.892578,23.904883,106210.282031,0.5234375
elu_elu_deriv,standard_pbs,10,1024,429,595,0,0,7,13,57.912695,211988.269336,7.17627,212053.358301,0.4189453125
elu_elu_deriv,sdr_pbs,10,1024,393,631,1024,0,7,21,58.332227,105977.663965,9.626367,106045.622559,0.3837890625
elu_elu_deriv,many_lut,9,512,230,282,0,0,5,17,58.622656,106370.720508,23.838672,106453.181836,0.44921875
mish_mish_deriv,standard_pbs,10,1024,472,552,0,0,7,11,58.149316,211628.720117,7.083496,211693.95293,0.4609375
mish_mish_deriv,sdr_pbs,10,1024,440,584,1024,0,7,10,58.205664,105131.352051,9.768066,105199.325781,0.4296875
mish_mish_deriv,many_lut,9,512,232,280,0,0,10,13,58.439062,105441.609766,23.473242,105523.52207,0.453125
